MeltWater_calcfromF,MeltWater_calcfromCl,sample
3.3895578880160473,2.2670409180803226,Ap1
3.649501674772725,2.538982919651535,Ap1
3.8710440139162055,2.7898616301638266,Ap1
4.342286093494555,3.3943769180351073,Ap1
4.507619149966831,3.6339497103834906,Ap1
4.219469246649607,3.226372583108086,Ap1
4.275608801231352,3.302169568942922,Ap1
3.241442419899369,2.1217215431619727,Ap1
4.905016693918215,4.284464231876661,Ap1
4.338303671327499,3.388801289620934,Ap1
4.674443217198107,3.8930823054309296,Ap1
3.9188181897232934,2.8465127193388056,Ap1
3.7964505244527915,2.7032700914092116,Ap1
4.212894747030434,3.2176027235766376,Ap1
4.481787018691468,3.5954397227286425,Ap1
4.487756620744177,3.6043023403280987,Ap1
5.902971179729051,6.677607895241898,Ap1
5.3248057453335935,5.122065371846218,Ap1
5.51177821504212,5.562574510387585,Ap1
3.0567938225646545,1.9493766946504214,Ap1
4.968194205403275,4.399316530320988,Ap1
5.194437973877871,4.8418257758595225,Ap1
5.06345878083845,4.579410534468831,Ap1
5.695584561288183,6.048874026097461,Ap1
4.371457704236648,3.4354897063314684,Ap1
4.231920822872937,3.2430427137575206,Ap1
4.4928101922142565,3.6118221937110326,Ap1
3.853056751325385,2.768776214339771,Ap1
5.610449756472575,5.816326941621887,Ap1
4.045813809607128,3.0018700364023467,Ap1
3.7847449847475074,2.6898823845565656,Ap1
4.467820626028163,3.5747903092341944,Ap1
4.68735065386079,3.9139250612116046,Ap1
4.076020259733825,3.03988613296349,Ap1
4.411515049128544,3.4927341080019048,Ap1
5.213249397591686,4.881032584776253,Ap1
3.962861681800144,2.8995931730972355,Ap1
4.007646887192042,2.954430799305548,Ap1
4.35707105599631,3.415154176622276,Ap1
5.381883404084749,5.251400627115406,Ap1
3.6009854128134107,2.4864829545052882,Ap1
3.8351091772416543,2.747868162552468,Ap1
5.097482969707561,4.645863938290399,Ap1
4.241951409537692,3.2565298060842034,Ap1
4.408194419649051,3.487953436215569,Ap1
4.310715975656738,3.3504173157935115,Ap1
5.0219528607334984,4.499888220716562,Ap1
5.319707169352301,5.110717427772433,Ap1
4.647927782865575,3.850635878429476,Ap1
4.637278794204012,3.833727175116168,Ap1
4.702741642287389,3.93893474797751,Ap1
4.848889032443466,4.185308364774166,Ap1
3.9219891172450847,2.8503066360129368,Ap1
4.536888103601274,3.6780889829429055,Ap1
3.733601924306241,2.6320109377329133,Ap1
4.293191584399752,3.3262506582739624,Ap1
3.8582339965185772,2.7748316791036776,Ap1
4.356428714810603,3.4142489509768956,Ap1
3.293117867837217,2.171676867027871,Ap1
3.656146712122601,2.5462390662783347,Ap1
4.956298654653068,4.377420707240105,Ap1
4.227917642151176,3.2376745708587964,Ap1
4.582994575578492,3.7487376424630403,Ap1
3.726018628934412,2.62351487603937,Ap1
6.3060684836883345,8.257757155956416,Ap1
3.8471071858528343,2.7618308476513684,Ap1
4.7623924545484595,4.037511241528172,Ap1
4.194822975195892,3.193609633691108,Ap1
5.2961615145814305,5.058735469766765,Ap1
5.9873006178671755,6.963196059168205,Ap1
4.3071042459109865,3.3454230148090147,Ap1
4.12303471627889,3.0999048317701203,Ap1
4.022806929875678,2.9731951472482776,Ap1
5.034996131939908,4.5246987936062695,Ap1
3.859604022071741,2.7764359269860757,Ap1
3.9060997495064718,2.8313380835286326,Ap1
5.124020726335838,4.698511960133073,Ap1
4.23555502477572,3.247923230776833,Ap1
6.268276226636682,8.082448036132778,Ap1
4.1835036363550335,3.1786653426664646,Ap1
4.910629763901031,4.294526973381284,Ap1
3.5591043093667176,2.44182704874024,Ap1
3.946940827218433,2.880309691889567,Ap1
3.4723589450518206,2.3512281330741347,Ap1
3.9027644907101116,2.827369955414725,Ap1
2.833889939588355,1.7532022466983654,Ap1
5.178963082699087,4.809869425201206,Ap1
3.567017971321925,2.450218599304917,Ap1
4.936222475890345,4.340754247322729,Ap1
5.163709136369887,4.778627094161941,Ap1
4.861350363356049,4.207095684216368,Ap1
2.955645616184878,1.8588223719035821,Ap1
3.6347949490031914,2.522980148551616,Ap1
3.6498734843024168,2.539388502014422,Ap1
3.9705615425194805,2.9089587038543443,Ap1
5.192215989579947,4.837220935859417,Ap1
5.970958579530372,6.90631552587578,Ap1
4.607374398344538,3.7866611668636945,Ap1
5.091817678847659,4.6347181166365745,Ap1
3.8552466129871807,2.7713362146017295,Ap1
3.2279438441191175,2.1088000790241757,Ap1
4.790761201295627,4.085336413323322,Ap1
3.8682065905454794,2.786526705941102,Ap1
3.581872005767875,2.466027836394583,Ap1
5.078424807076585,4.608498130247004,Ap1
2.9361911335736433,1.8417027994254573,Ap1
3.8863297847808966,2.807884493849643,Ap1
4.304522746502383,3.341857660813817,Ap1
3.6923023228204106,2.5860010026037763,Ap1
4.053679770655769,3.011729192334585,Ap1
3.988769410179343,2.9312084380894827,Ap1
4.506685663970419,3.6325508548034313,Ap1
4.074690044140139,3.0382031103490204,Ap1
4.629810267798218,3.8219152603900843,Ap1
3.451758686829101,2.3300778648186724,Ap1
4.516019631779372,3.6465626854121567,Ap1
5.6868165850053005,6.024299728421068,Ap1
3.138588225715978,2.024564745669492,Ap1
