,"MeltWater(wt%,calc_from_F)","MeltWater(wt%,calc_from_Cl)",sample
0,2.4547590771749777,2.288176852823244,Ap1
1,2.063964271561703,1.877648269593935,Ap1
2,2.331661663315253,1.8698393807096143,Ap1
3,3.3241143113879996,3.3094749533748726,Ap1
4,1.986181713359644,2.103402933273895,Ap1
5,1.7580701150750448,1.5292124729497132,Ap1
6,2.722133927048922,2.4080925922570056,Ap1
7,2.5371065424956667,2.201079580582855,Ap1
8,1.744715747011299,1.407571749119437,Ap1
9,2.627486942003918,2.162856943676805,Ap1
10,2.6005743703431334,2.491400698100531,Ap1
11,1.4445381302703972,1.670882131438694,Ap1
12,1.9031065640471163,1.6671932537990892,Ap1
13,6.031482791553013,4.292268567181452,Ap1
14,2.392872479434916,2.7521751001975443,Ap1
15,1.5940412118106748,1.580448240770499,Ap1
16,1.8297111129283128,1.9697172376126644,Ap1
17,1.9736022975578167,1.9979032253072342,Ap1
18,2.570060505746624,2.4385959490612215,Ap1
19,2.618540252216618,2.852994063362195,Ap1
20,3.397127590650887,2.848314641765673,Ap1
21,2.2116609558277744,2.172613868196926,Ap1
22,2.2459627439574588,1.8055391920803698,Ap1
23,2.534122736490905,2.4321664045043523,Ap1
24,1.8974016933045406,1.8397814348119526,Ap1
25,1.6774794321700524,1.428073710707738,Ap1
26,2.4618154164262096,2.1101239516087036,Ap1
27,1.8875222401540603,1.6325331363667615,Ap1
28,2.5916966081874486,2.3030225496928773,Ap1
29,2.5323834004842025,2.317683341871689,Ap1
30,3.08080923335323,3.187601391275684,Ap1
31,2.311114301341899,2.205008389985544,Ap1
32,1.7792072589673982,1.9382170138576376,Ap1
33,2.1847395058913515,1.7549586994462159,Ap1
34,3.3357992492490314,3.7946950452625243,Ap1
35,2.988836960628777,3.328538039689462,Ap1
36,2.2742821286353494,2.456771003755927,Ap1
37,2.535325423251662,2.8023397897881934,Ap1
38,3.042381372820637,2.321303304650754,Ap1
39,2.77569918600892,2.3578848941038446,Ap1
40,3.099055339283521,2.720299241593667,Ap1
41,2.4348369649574613,2.445446899902319,Ap1
42,2.597751285774292,2.6146514465990762,Ap1
43,2.493019981911086,2.0810913386616368,Ap1
44,2.4446180881660515,2.1163154337546204,Ap1
45,1.7301299308862608,1.7245413534126648,Ap1
46,2.8477896196739994,3.2040010838648167,Ap1
47,1.1077009008635785,1.1210585477250166,Ap1
48,4.299965910549236,4.456905046505058,Ap1
49,2.6028323094226766,3.340135312839644,Ap1
50,1.7317423410423318,1.8561047279390224,Ap1
51,1.9359654123416343,1.6790995709318846,Ap1
52,1.9241021229218491,2.056574172134957,Ap1
53,3.545839815468352,3.254138586821287,Ap1
54,2.1640975882837266,2.1838273671488806,Ap1
55,2.8964946168313457,2.5791883661003827,Ap1
56,2.4464143436476387,2.4911334449749667,Ap1
57,2.7388452706170616,2.514985617877859,Ap1
58,3.358690410050226,3.125391078964944,Ap1
59,3.4996173270281212,3.9037332501885915,Ap1
60,3.102429935415291,3.1519391588709706,Ap1
61,2.763363410027496,2.1389933455907078,Ap1
62,2.616130470797738,2.7973054089389033,Ap1
63,2.9827364294095604,2.624010368200026,Ap1
64,2.1538213079856128,2.2956092138593265,Ap1
65,2.564761120729898,2.4983466152020672,Ap1
66,3.8055705340571815,3.8354166682315705,Ap1
67,2.2147376955390334,2.1467007797781172,Ap1
68,2.0523822784523715,2.1454591226379027,Ap1
69,1.9668906577161103,1.824535014400622,Ap1
70,1.774663611122709,1.4401392182656192,Ap1
71,2.428690010752958,2.1497149803695588,Ap1
72,2.7903548733613643,2.4089231576316306,Ap1
73,2.009957004986926,1.9631876952293081,Ap1
74,3.4906785617585574,2.884933949181804,Ap1
75,4.400320453711338,4.047322854115427,Ap1
76,2.1674399545170084,2.062003907626663,Ap1
77,2.84425456625062,2.8896877928125524,Ap1
78,1.6167164264287905,1.520311949576764,Ap1
79,2.4869880911296325,2.8220070452980117,Ap1
80,1.9413784606054565,2.000658326804148,Ap1
81,1.4946382415792836,1.8347601778243017,Ap1
82,1.9682063973295114,2.0479784923174367,Ap1
83,2.1523298489546434,2.2067979292151314,Ap1
84,3.6674826256106794,3.7508787818226224,Ap1
85,3.588733403912868,3.9149557360135803,Ap1
86,1.5661832291330229,1.540937834441712,Ap1
87,1.6967738032896733,1.6175766450236575,Ap1
88,1.9004153994922068,1.412272521585342,Ap1
89,2.0525153575536406,1.6251174145182103,Ap1
90,2.2991012708985665,1.8985564389603689,Ap1
91,2.9788081284893906,2.672410094972538,Ap1
92,1.7856697911585486,1.9273284818588532,Ap1
93,2.7895014789608217,2.0791651258952775,Ap1
94,3.9186241502339945,3.654486710594723,Ap1
95,2.209743653680026,2.0346818550068915,Ap1
96,1.621388458571999,1.4556658567644372,Ap1
97,2.67281878982776,2.5286543615671047,Ap1
98,2.3142061050541978,2.195968484106507,Ap1
99,3.4607877712845307,3.555185393897046,Ap1
100,3.1139079281604007,2.672753008527155,Ap1
101,2.1813897578559365,2.124783714432931,Ap1
102,3.7235701369907988,3.73071097140065,Ap1
103,1.4172904449505908,1.5203555640198154,Ap1
104,2.0434399821403506,2.388382445221677,Ap1
105,2.061046727419057,1.82903511269931,Ap1
106,2.1806495435389,1.9956414286323672,Ap1
107,4.158232387008065,3.5903275294116486,Ap1
108,2.379410969367666,2.078202507645643,Ap1
109,2.304965733165737,1.9120712782421156,Ap1
110,2.561202890443687,2.127707082981982,Ap1
111,4.001236762216558,3.1066538138178608,Ap1
112,3.3208650601708674,3.1246173219693083,Ap1
113,2.2703996020261346,3.46751623242016,Ap1
114,2.9549100766733347,2.8518973993275005,Ap1
115,1.9849777679998717,2.202756424592428,Ap1
116,3.1846706961143276,3.1025640635883622,Ap1
117,3.578331425481792,2.788521441300752,Ap1
118,3.202217774490674,3.23566252427254,Ap1
119,2.6329987010351075,2.5149664169061365,Ap1
120,1.776675698499096,1.8214037985899438,Ap1
121,1.4587011500312788,1.501924780485327,Ap1
122,3.242851303859963,3.353161216411556,Ap1
123,1.956648923332437,1.716955300055944,Ap1
124,1.8765105780739946,1.6062845299103432,Ap1
125,3.4412737403768907,3.3592557372684393,Ap1
126,3.1941992349616886,3.4931773687772365,Ap1
127,2.4053969321934745,1.993832558748827,Ap1
128,3.2793621835959867,2.5858288650824552,Ap1
129,3.2725815100431723,3.2502157538443863,Ap1
130,2.1640130245079225,1.9781737743484133,Ap1
131,3.263890848326187,2.9578905990010864,Ap1
132,2.4327312093105276,2.8922880010858156,Ap1
133,1.3962752347184257,1.6386730359671826,Ap1
134,2.6785340773041026,2.4450389895213682,Ap1
135,2.324298388848807,2.5751944426366338,Ap1
136,3.657181125625575,3.7195272883008648,Ap1
137,1.9212904909898292,1.8726206502029334,Ap1
138,1.7773606429732154,1.7236331397724096,Ap1
139,3.4645146377374076,3.2052800446406975,Ap1
140,5.31079388090745,5.534232327315376,Ap1
141,1.6649252791813496,1.4236980206439092,Ap1
142,3.8835660050313976,2.7597121065984425,Ap1
143,2.5510835137367507,2.3500719180937963,Ap1
144,2.472550310926343,2.166346208707447,Ap1
145,2.006338292011517,1.605135988657758,Ap1
146,2.4811806546488357,2.107337135020453,Ap1
147,1.7865872273075716,1.708379272200577,Ap1
148,2.317085244556911,2.3668807849323663,Ap1
149,3.0590537984472457,2.6270235679450686,Ap1
150,2.184414133597199,2.157020912152233,Ap1
151,1.5479099191698469,1.702129463613573,Ap1
152,1.5770207660122093,1.6173085003426002,Ap1
153,1.5313550525289,1.2970240567283424,Ap1
154,3.3526016808547534,3.1104022305587185,Ap1
155,1.929058049098958,1.4021779995080248,Ap1
156,3.591779855783754,3.191428894075684,Ap1
157,2.6595269593349062,2.5746913214798735,Ap1
158,3.658002269324119,3.9127274369937877,Ap1
159,2.8405285267817164,2.305953193995551,Ap1
160,3.941761099385979,4.229195320446189,Ap1
161,2.3571999644715405,2.3603300387188457,Ap1
162,1.8455304769177074,1.8559468126866971,Ap1
163,2.9108243111386,2.734337293513056,Ap1
164,2.321145722215324,2.0538271957710172,Ap1
165,2.5101407746103632,3.1493545224987165,Ap1
166,2.7842379786851184,2.479477407068069,Ap1
167,3.506877746608189,2.767946251052561,Ap1
168,2.787246982355723,2.640278315876379,Ap1
169,2.232017820661797,1.6821062030501297,Ap1
170,1.9692940164814505,2.035073752973455,Ap1
171,2.170558381764789,1.8716940876786177,Ap1
172,1.34924334114336,1.2123619265162788,Ap1
173,1.744555929975855,1.613396453416955,Ap1
174,2.5643799035770503,2.5419461503748857,Ap1
175,2.2008455857318396,2.2934898424780825,Ap1
176,2.9859991507250574,2.326742106245909,Ap1
177,1.682728313244784,1.6874012313159146,Ap1
178,2.3891991222950155,2.645446104185335,Ap1
179,2.300399217252027,2.25692882261278,Ap1
180,2.3992204034747298,2.399027947690649,Ap1
181,2.5872813404403328,2.6452146167105854,Ap1
182,3.5853463918951984,5.1771339744626985,Ap1
183,1.8299308925642979,1.9302159367077076,Ap1
184,2.8990253972502953,2.8676763310959275,Ap1
185,1.9879020637927396,2.191738566112895,Ap1
186,2.7434483948543553,2.4184384770066822,Ap1
187,4.133292127994978,3.465576227922023,Ap1
188,3.1124670694087033,2.6146653464270133,Ap1
189,2.0455743713480636,1.8345524000361841,Ap1
190,3.3457915787581087,3.2101244256613546,Ap1
191,2.988250500229395,2.818870019953167,Ap1
192,2.2025212508447822,2.2154105606449996,Ap1
193,1.4380500153385842,1.5852747531017235,Ap1
194,3.3903086675908884,3.0946490525799097,Ap1
195,1.9112066485211954,1.4292321246433912,Ap1
196,4.969465208241619,5.276946353514743,Ap1
197,2.037486454406193,1.875062637765833,Ap1
198,1.7341896236904095,2.382766229483376,Ap1
199,3.1201752506704663,2.6762950440876243,Ap1
200,2.191636258191773,2.3875694663599454,Ap1
201,2.169485776056905,2.2426744833565047,Ap1
202,0.8254054910411264,0.7853596435099703,Ap1
203,2.2880302547669698,2.0998061506656023,Ap1
204,1.3658700089521465,1.3261284211982112,Ap1
205,1.8974685641043294,1.4463958168207571,Ap1
206,1.5936113116855444,1.563823650040142,Ap1
207,2.8258747836608826,2.4474344229779375,Ap1
208,3.527926949991272,3.1671702888352122,Ap1
209,2.878476013956465,2.573616093007243,Ap1
210,2.062992810834196,1.8556233992160343,Ap1
211,4.6325281511554754,4.080564926505508,Ap1
212,3.7211213380415713,3.4863316198083827,Ap1
213,4.098633319467396,3.4001364750434147,Ap1
214,2.595979371228626,2.565090096494614,Ap1
215,2.308578505972088,1.9448978071798972,Ap1
216,3.69834939193605,4.4538859436751785,Ap1
217,3.3460647260409226,2.517030410400341,Ap1
218,1.6797694590008867,1.4284642934603118,Ap1
219,3.3658780911035664,2.657754289006378,Ap1
220,2.124964177357753,2.0974556421077133,Ap1
221,3.1951970938573626,2.7077848220258676,Ap1
222,4.689953975225817,3.505508590187354,Ap1
223,1.8022567795944737,1.799384684787034,Ap1
224,2.0799695052939096,2.1784395280578805,Ap1
225,1.7141616166300035,1.8013430151206895,Ap1
226,2.4521523694449594,2.186576212405731,Ap1
227,2.610168713136201,2.0900080088624557,Ap1
228,2.3941473065122727,2.5984563987582554,Ap1
229,3.0754385319865682,2.754114348710315,Ap1
230,3.567164226880896,3.1731035274614725,Ap1
231,3.9541746298203457,3.731780978457501,Ap1
232,1.3882490622805044,1.3388494839783196,Ap1
233,2.387866406562314,2.2125578381952815,Ap1
234,3.052953362618021,3.241526470135364,Ap1
235,2.15100075160315,2.286406008201546,Ap1
236,1.8128984487789042,2.1206977558403595,Ap1
237,1.7486584598181136,1.8470522938368725,Ap1
238,2.6560755920493957,2.592729592955983,Ap1
239,2.1861048756088692,1.8961748874045208,Ap1
240,1.709357126275088,1.6210182134444102,Ap1
241,1.7758415705817063,1.6497730709458849,Ap1
242,3.2010999274542074,2.517870274086292,Ap1
243,1.7585888161782133,1.6063055151493828,Ap1
244,2.989047266507829,3.2601823141721997,Ap1
245,3.1120180270794293,3.235527241329778,Ap1
246,2.5790621933549387,2.372523512567634,Ap1
247,3.5746619591035285,3.220113452427906,Ap1
248,3.2765868713646804,2.8169246174536933,Ap1
249,2.3094415525731793,2.335351713867573,Ap1
250,4.118416746907391,4.28719271369563,Ap1
251,2.872247421842055,2.4954075797592092,Ap1
252,2.3465040130684587,2.8195684526528564,Ap1
253,2.2297223649584557,2.069001102671858,Ap1
254,1.9575501432720122,1.5645433733817906,Ap1
255,2.157658895036918,2.1415422870659953,Ap1
256,2.611605675668299,2.558263658797589,Ap1
257,2.0079306730472397,1.7031211696115576,Ap1
258,1.6467368076431388,1.263345281829841,Ap1
259,2.2095103882230176,2.0506003803464523,Ap1
260,1.9116421346819927,1.7328275891533778,Ap1
261,2.9517106530026047,2.460458540838771,Ap1
262,2.5357618214197917,2.299414716994006,Ap1
263,4.337584169699384,2.999275652525704,Ap1
264,1.521617677514449,1.4655568274625723,Ap1
265,2.1555017219945594,2.0924082625793794,Ap1
266,2.2891086403304777,1.7789366784160605,Ap1
267,2.716579146217979,3.027918671248777,Ap1
268,3.0911270477423107,3.0216793256666725,Ap1
269,3.9570818382354815,2.8312495762027727,Ap1
270,2.044772795319942,1.7137807395929687,Ap1
271,2.90726508545725,2.6345179499027824,Ap1
272,2.6057376098530574,2.3226068771286603,Ap1
273,2.1352872855802136,2.266964116887624,Ap1
274,1.7328152446358953,1.7168393802259745,Ap1
275,2.671634824290619,2.494352536640542,Ap1
276,3.2140696610680664,2.6478356106557,Ap1
277,3.1236179875326364,3.042471774563872,Ap1
278,2.8008954523698155,2.8369516328660276,Ap1
279,2.669716446579577,2.6111896169931197,Ap1
280,2.2803642236941624,2.327660276580279,Ap1
281,2.2389640884727093,1.9751803574597153,Ap1
282,2.1548343633901954,1.7611090447244566,Ap1
283,3.7844845632738338,3.45392595104662,Ap1
284,1.8264726539093736,1.610761676389793,Ap1
285,2.3336768000445653,2.718380092985518,Ap1
286,2.2004465156697033,2.417208639529761,Ap1
287,1.9937677943196257,1.7336846453258583,Ap1
288,2.8000731738716067,2.447057568810676,Ap1
289,3.0073930787972447,3.2555966632223305,Ap1
290,1.9132968024182109,2.0613365148599954,Ap1
291,2.122445165393291,1.8011318821702764,Ap1
292,2.460721896537657,2.1512029210958667,Ap1
293,2.2185106068335547,2.6420070709862715,Ap1
294,1.7521586647701222,2.030690012760444,Ap1
295,3.330774266753786,3.366552124952394,Ap1
296,1.882889143988455,2.0398157815484708,Ap1
297,2.4642965610088785,2.0554408148199723,Ap1
298,1.9166899374662538,1.6764182092278794,Ap1
299,3.6727725755325022,3.142103222990659,Ap1
300,2.5371372422236425,3.6452238489687003,Ap1
301,1.9056986716230973,1.7633011008752655,Ap1
302,2.0879301827228396,2.1120589062051893,Ap1
303,1.495661984511933,1.4734300920798704,Ap1
304,1.7372863698336558,1.710377886860676,Ap1
305,1.666325062032628,1.6865019047715752,Ap1
306,2.9420937725545016,2.328722553016687,Ap1
307,3.142683387092927,3.1351343213540273,Ap1
308,2.089352067340584,2.0480975575665186,Ap1
309,1.4341595456745877,1.458018842388443,Ap1
310,2.0492212298906445,2.2914896889407173,Ap1
311,2.1435066397731433,1.8947044283814514,Ap1
312,2.3794005020850615,2.2432618729033598,Ap1
313,1.6231797974809856,1.5877233335356518,Ap1
314,1.921019251161328,1.9408987846334016,Ap1
315,2.283812932990851,1.8956551681107685,Ap1
316,2.6125518248886013,2.345963191336419,Ap1
317,2.193464908480867,1.7409183935367305,Ap1
318,3.6273019582547557,3.2743697097520057,Ap1
319,2.3555025365474176,2.2682852360183885,Ap1
320,2.8158236245502715,2.9074458515062194,Ap1
321,2.8203705178933665,2.761177318041007,Ap1
322,2.976857618424933,2.784990843405631,Ap1
323,2.6043514348857517,2.6565831634563377,Ap1
324,2.0776860079712627,1.9708678577012946,Ap1
325,3.0532254693017653,2.6395466992880925,Ap1
326,3.0952598652716237,2.7916430670061687,Ap1
327,2.5543057414408263,2.6387901871596475,Ap1
328,2.3135312614163484,2.0896986269905753,Ap1
329,2.0312976372157654,1.6914431471222064,Ap1
330,2.5104607385140465,2.69508491582638,Ap1
331,1.7039312736649812,1.2664908609531607,Ap1
332,1.9891869198880294,2.0114263031598045,Ap1
333,3.168766544064077,2.643795418264263,Ap1
334,2.11628611138563,1.8692931506585977,Ap1
335,2.835282358233582,2.914190760101619,Ap1
336,2.0352015915427852,1.8280542751873599,Ap1
337,2.2468489799371203,1.895292247091373,Ap1
338,2.460582216377921,2.0538613670882686,Ap1
339,2.1055381504985187,1.8014262442795173,Ap1
340,5.178283587257561,4.993532502119466,Ap1
341,2.561739110966959,2.619233602142345,Ap1
342,2.572850326091148,2.669876711730393,Ap1
343,2.448093977759781,2.0800223287573525,Ap1
344,2.5255687202484407,2.139259262007159,Ap1
345,1.2584289140200737,1.647763477121252,Ap1
346,2.006810973735552,2.0294767186003324,Ap1
347,1.6058767509837677,1.3540549920116176,Ap1
348,1.8893822075846949,1.915503598113572,Ap1
349,2.2585816353845005,1.9122493326035015,Ap1
350,4.028290581309207,3.5358727853620415,Ap1
351,1.665088664169037,1.3007113334771692,Ap1
352,1.4568321946213623,1.3655256454380835,Ap1
353,3.3966033144027934,4.983691064320671,Ap1
354,2.0196510724402983,2.0744016646985117,Ap1
355,2.5428796674866727,2.348644006351984,Ap1
356,2.20880837344789,1.983350864683562,Ap1
357,1.8844160848754128,1.565970577682762,Ap1
358,2.2495626955125747,2.229244419092698,Ap1
359,1.657962905462688,1.8268577669004846,Ap1
360,4.154690551983563,3.217120566301916,Ap1
361,1.702732737930524,1.5788340356059114,Ap1
362,5.250096673025471,4.456404711605015,Ap1
363,3.129150707616187,2.6061267168935807,Ap1
364,1.5570794294789954,1.4903918038609065,Ap1
365,1.4619108254540931,1.4452535981191619,Ap1
366,2.6479738459512685,2.424891158529957,Ap1
367,1.8651729884385022,2.00361188064755,Ap1
368,2.40500986076617,1.9855719313360851,Ap1
369,2.686985985326356,2.280734288441659,Ap1
370,2.258840195444163,1.9072741792011083,Ap1
371,3.844549653278226,3.935032206392825,Ap1
372,1.483349638396155,1.3615171755514652,Ap1
373,2.397520773644331,2.0687115457797494,Ap1
374,2.1532432901523717,1.6452971144617943,Ap1
375,2.7086368500093583,2.199459129601002,Ap1
376,2.2404710803259813,2.1192130104278766,Ap1
377,2.4132906906310976,2.8916513517187683,Ap1
378,2.033747899492973,2.163313372181068,Ap1
379,3.2561121868597867,3.119964032045149,Ap1
380,2.5067993130218937,2.3009184089214627,Ap1
381,1.9286331713000502,1.9024222469085548,Ap1
382,3.098928511084403,2.5371042280116542,Ap1
383,2.7644430652908976,2.6986246918373027,Ap1
384,2.5060949589335713,2.142504068191528,Ap1
385,2.4019557667997633,2.3319368658826245,Ap1
386,2.3474419968016527,2.142319046664869,Ap1
387,1.8454911721562575,1.9487725795892104,Ap1
388,2.2961907148334633,1.8513031278955352,Ap1
389,3.8714620118311505,3.614482911740375,Ap1
390,2.176595788654895,2.497274046002904,Ap1
391,3.2762164868867494,2.7839082888370537,Ap1
392,2.7208795610699537,2.4299488609688162,Ap1
393,1.3085079050664923,1.3247001736541195,Ap1
394,5.091586817642811,5.107479660815905,Ap1
395,1.7456939345983449,1.784288989084262,Ap1
396,3.07246607897368,2.7545000333969036,Ap1
397,3.108376164441334,2.6371477672357044,Ap1
398,1.9440244750705726,1.5992202227104857,Ap1
399,2.8684240935998915,2.8259455561801903,Ap1
400,1.9075352271059154,1.9742942586878338,Ap1
401,1.2816812782772484,1.2716770904560948,Ap1
402,2.1051281201408467,1.8215962066392744,Ap1
403,1.7651967306235528,1.7636739677911537,Ap1
404,3.2213697414773037,3.4137513636691588,Ap1
405,2.046212512277643,1.822823240520564,Ap1
406,1.8431241503814322,1.6284043676157514,Ap1
407,2.0048881261050706,1.8531897423841295,Ap1
408,1.5638208021934223,1.5664420727498505,Ap1
409,2.0513185672125807,2.269506015707283,Ap1
410,1.4148314824655628,1.3883366361568592,Ap1
411,1.8259879341736143,1.395513245072073,Ap1
412,3.101810819986532,2.8819529578061225,Ap1
413,3.5643114463455756,3.2903332175921935,Ap1
414,3.0837719875727054,3.086402486665474,Ap1
415,3.1444595398008945,2.48163812095115,Ap1
416,1.5070465961644601,1.4108638561891247,Ap1
417,1.6405884664490122,1.575205425094005,Ap1
418,2.475173361268855,2.338498920854576,Ap1
419,1.309328957593889,1.2223878316818946,Ap1
420,4.037323726694343,3.9802378339877373,Ap1
421,3.6983344613365268,3.0543651728892374,Ap1
422,2.352703866533207,1.8377392661638476,Ap1
423,1.609126471796413,1.542890682177215,Ap1
424,1.3882107787368627,1.4054011248580172,Ap1
425,3.355257458728586,2.806830404525774,Ap1
426,2.110917644146553,1.895721855960955,Ap1
427,2.231931856531527,2.361553878610641,Ap1
428,2.282098744672744,1.7818741289602955,Ap1
429,1.048450037400591,0.909640616831795,Ap1
430,1.5592824564308665,1.386469234415254,Ap1
431,1.896332390651222,1.7374051407362736,Ap1
432,1.8291507546494155,2.3690903023560588,Ap1
433,1.6737835889383503,1.770039762946768,Ap1
434,1.668222062182553,1.4977252772859968,Ap1
435,1.894397642313978,2.1681476876846864,Ap1
436,2.247533664076805,2.065768224822844,Ap1
437,1.539659286257771,1.48076920360513,Ap1
438,2.8977543900945264,2.5540909577139543,Ap1
439,2.0565279647978234,2.1702523292990734,Ap1
440,2.062209705581177,1.8102809594325913,Ap1
441,1.8623869471390466,1.9222439211723692,Ap1
442,2.255700580499489,2.0356150219885634,Ap1
443,3.6680847672046184,3.253833298314578,Ap1
444,3.077014043843648,2.6236851180705343,Ap1
445,3.267497547427176,2.7453935493772597,Ap1
446,2.4291748482524294,2.428209615633467,Ap1
447,3.18059448302254,2.95209053636159,Ap1
448,1.6575185145542952,1.8555753290403216,Ap1
449,2.4256675054570764,2.981329520993357,Ap1
450,2.739457739806611,2.2159511911051815,Ap1
451,2.5857299027651193,2.244987772164462,Ap1
452,2.7234835119148864,2.448307905114673,Ap1
453,2.920204575372756,2.415242705361378,Ap1
454,2.346479171013243,2.756055633036666,Ap1
455,1.8700632380773252,2.4830816598829144,Ap1
456,3.886314588203612,3.720440119730263,Ap1
457,1.8520239915449062,1.4160456226900653,Ap1
458,2.6999706257603817,2.6125348614840025,Ap1
459,3.7227810625376083,3.179488050742924,Ap1
460,4.15889286561518,3.2346174573910007,Ap1
461,2.3896956243399994,2.39772442726595,Ap1
462,2.851845885781935,2.720092912700021,Ap1
463,2.8552977188754114,2.726584620936094,Ap1
464,3.7613858432358316,3.062670870393264,Ap1
465,2.383163431140764,1.7520639092814834,Ap1
466,3.037445123742322,3.1446162340259605,Ap1
467,2.2458484527258284,2.1637584205451503,Ap1
468,1.3174310308959822,1.384419489159906,Ap1
469,3.4321904212654846,3.267244716231521,Ap1
470,1.5029249500543331,1.6518416543450518,Ap1
471,2.524776318588872,2.6657659784950227,Ap1
472,2.523661717228939,2.1414247992472624,Ap1
473,2.0538120436717264,1.804446438902585,Ap1
474,1.4718200717288068,1.4102523964915585,Ap1
475,1.0179142952093192,0.8596282916588822,Ap1
476,1.166322979818497,1.074242751549495,Ap1
477,4.086685481082624,3.150777933374199,Ap1
478,2.033636325966786,2.0227964407831345,Ap1
479,1.5145497627165738,1.3550803058966476,Ap1
480,1.2203552186439934,1.1917594597335857,Ap1
481,1.9937116587885944,1.9228033647885963,Ap1
482,1.479102531453442,1.212010380074957,Ap1
483,2.352148880049553,1.910980944053501,Ap1
484,1.3474867719730654,1.134174629553302,Ap1
485,1.9852949414209804,2.2408262565003705,Ap1
486,1.502853349999053,1.3545228235725781,Ap1
487,1.774174486232958,1.4774001033893682,Ap1
488,4.220264379459213,3.277666227279196,Ap1
489,2.6134344783817265,2.3341254717162845,Ap1
490,2.5056695384867327,2.342885488605497,Ap1
491,3.0619420030675526,3.315808607815487,Ap1
492,2.3937760859356296,1.959430555607796,Ap1
493,1.2995277913228318,1.3629214289903075,Ap1
494,2.1022192522026018,1.8198661465398243,Ap1
495,7.339394599810896,5.774549946936404,Ap1
496,2.64374270173097,2.135662399081769,Ap1
497,3.689421231957822,3.69061203072844,Ap1
498,2.2400495896257357,2.2900253658659846,Ap1
499,2.9088374489720294,2.800307794917847,Ap1
500,1.4789682827640456,1.7290856229552267,Ap1
501,2.0265564476233835,2.107954526416253,Ap1
502,1.9294613871440844,2.1037420032099314,Ap1
503,2.7626001058302982,2.643274082379078,Ap1
504,4.719432398401682,3.9491651759277158,Ap1
505,1.6164955284359652,1.4727430558511527,Ap1
506,1.8909115743181826,2.053980637252328,Ap1
507,2.09005999202888,2.0733969871934503,Ap1
508,3.758370479892598,3.1686495439587197,Ap1
509,3.3173148413753517,3.241555162606601,Ap1
510,3.0489285851963968,2.719932706257104,Ap1
511,1.6240793940294267,1.482514102367153,Ap1
512,2.6030272986959533,2.4427107532476304,Ap1
513,2.4686358806326147,1.804308690874173,Ap1
514,2.717586959892328,3.1669927542910044,Ap1
515,2.1278103609309658,2.3922943621237107,Ap1
516,2.3622027130123016,2.6491932815621255,Ap1
517,3.32064824004829,3.092092833529856,Ap1
518,3.276970028776871,3.7652151315373756,Ap1
519,2.447022805681686,2.71179239528561,Ap1
520,1.8062134788840778,1.8464249750498742,Ap1
521,2.933888477336429,2.666610163946008,Ap1
522,1.8941657074815224,1.6174557640354799,Ap1
