,"MeltWater(wt%,calc_from_F)","MeltWater(wt%,calc_from_Cl)",sample
0,2.4547590771749785,2.2881768528232436,Ap1
1,1.5227215487463188,1.4967421231917972,Ap1
2,2.168670520739252,1.9046440508772582,Ap1
3,1.5540899042158631,1.3117783272211005,Ap1
4,2.0401606408501123,1.7324014777365524,Ap1
5,1.8871019834711396,1.7770555106908634,Ap1
6,3.9323004903549355,3.2691797567707495,Ap1
7,2.1260113466402073,1.761761172338642,Ap1
8,2.4421731804918947,2.2209434180764087,Ap1
9,3.7452322975804933,3.009152309542184,Ap1
10,2.26095540537085,2.363343931662636,Ap1
11,1.600195244147495,1.4899261241651736,Ap1
12,3.9228071400545033,3.3564607355874965,Ap1
13,2.271511109672037,2.1271427945568258,Ap1
14,3.5730482093964477,3.7763934374437422,Ap1
15,1.7752853133200672,1.5659078252291114,Ap1
16,1.574537645193495,1.5236811145401041,Ap1
17,2.9402149585284043,2.253766893921468,Ap1
18,2.643505070776292,2.404527989807218,Ap1
19,2.262787577477688,2.380792870349358,Ap1
20,2.665659435266945,2.3061581812238554,Ap1
21,3.861795039231835,3.725677885447588,Ap1
22,2.2694617831993567,2.128053815698357,Ap1
23,1.600983018886851,2.029893508356572,Ap1
24,1.2955261370536624,1.1662925202414285,Ap1
25,3.1819924118080185,3.3439171914559624,Ap1
26,1.4927729698486432,1.4042679785623666,Ap1
27,3.028873374899324,1.9921719204447148,Ap1
28,2.2408976744973645,2.2623115050813483,Ap1
29,2.504049388081549,2.2369795553113128,Ap1
30,3.8882344621762606,3.4690213842391544,Ap1
31,3.067562722950863,2.466962272367254,Ap1
32,1.7815121002995589,1.610535173604825,Ap1
33,2.5671280280448716,3.1372176210485008,Ap1
34,1.975451453164271,2.2386416922698733,Ap1
35,3.165810476095875,3.005386705983974,Ap1
36,3.0334709310423014,2.706636621982907,Ap1
37,2.651457396438004,2.824351821025399,Ap1
38,2.472470487611452,2.1621112893935956,Ap1
39,1.9805573851964988,1.8038040120811911,Ap1
40,2.060728211018047,1.9798115374715133,Ap1
41,1.8222476730956498,1.6867691686718023,Ap1
42,1.8974589898547396,1.8414280048060585,Ap1
43,2.9828552512161037,2.537724934894756,Ap1
44,3.010663188195838,2.8808059430439763,Ap1
45,3.057527036004194,2.6934510384179107,Ap1
46,2.3090714157466374,2.2322694985586957,Ap1
47,2.2873001437032534,2.514078092672268,Ap1
48,2.4676998263871908,2.157082786603631,Ap1
49,3.778692350839077,3.491578655616972,Ap1
50,4.36172575434313,3.4727160223627482,Ap1
51,2.914516271794022,2.531950164834222,Ap1
52,2.4579341986602667,2.053677464628573,Ap1
