MeltWater_F,MeltWater_Cl,sample
1.5786035736787645,1.3810772973008572,Ap1
2.954934794539243,2.8463597453654796,Ap1
2.452503697594288,2.285725507569964,Ap1
1.7196958487672664,1.520937144635508,Ap1
1.8462705109875206,1.6484678420144978,Ap1
2.427142998999058,2.2582020114562362,Ap1
2.2868630299893895,2.1073134593299736,Ap1
3.894123343141947,3.9723550312156894,Ap1
1.8370800875129791,1.6391428594063875,Ap1
5.381070060976112,5.967329932721156,Ap1
9.233343946142382,12.603266748397552,Ap1
3.542956218469732,3.5394311729222174,Ap1
2.5264357283440892,2.3663892999013165,Ap1
3.8977569436265935,3.976909359624994,Ap1
2.6772311158131337,2.5328799344346944,Ap1
3.2871456128161425,3.233030652191008,Ap1
2.348176448522192,2.172980998774731,Ap1
3.6932412759430306,3.7229567946419873,Ap1
2.83085707336599,2.705198604691683,Ap1
2.9855583495121225,2.881472345810347,Ap1
0.8792443985256493,0.7250092978353941,Ap1
3.4261720216234033,3.3986162253592704,Ap1
1.929066979641041,1.7329338576988398,Ap1
2.562371230136685,2.4058260195180448,Ap1
2.3857618749392735,2.213452657924407,Ap1
2.330086055387516,2.1535602204377895,Ap1
2.9212767535191277,2.807892340567386,Ap1
4.067682185315029,4.191611698049157,Ap1
1.5690607931748701,1.3717061290120136,Ap1
2.2877914983099443,2.1083045824404034,Ap1
1.3083956688115919,1.1201204149157544,Ap1
2.4200697140321035,2.250538858808572,Ap1
4.388177653816369,4.605780428618264,Ap1
2.1601946857718444,1.9730454942212643,Ap1
2.3978507232807122,2.226504849213327,Ap1
2.224800129792896,2.041291550837554,Ap1
2.0306231750123755,1.8376566887437364,Ap1
1.5997865122869357,1.4019194196633862,Ap1
1.7963889756561677,1.597978279237533,Ap1
5.320233841015332,5.880401230715489,Ap1
6.130738058830057,7.077942330210174,Ap1
2.3774840346734103,2.204524997930262,Ap1
1.710549111894693,1.511796554974998,Ap1
2.6758028723764986,2.5312906913847333,Ap1
3.8355778359398656,3.899186210289962,Ap1
2.34733663262619,2.1720785757972343,Ap1
3.3642229267035284,3.3245577424306694,Ap1
2.6124801933001627,2.461066993998038,Ap1
2.599387349709225,2.446605153249718,Ap1
3.7222191131107083,3.7586444046427907,Ap1
3.512820272908375,3.5029435941495537,Ap1
1.7576417200541254,1.5589660923932132,Ap1
